date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:45	96792/96792	---M-Z	200	added ('OK')	text/html	etag:W/%2231ca35ce54765b08f3e199d115216b69%22	https://www.damianruck.com/	C:/Users/DamianRuck/damian_website/www.damianruck.com/index.html	(from )
10:53:45	382/382	---M-Z	200	added ('OK')	text/plain	date:Sun,%2020%20Oct%202024%2009:53:44%20GMT	https://www.damianruck.com/robots.txt		(from )
10:53:46	17772/17772	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2020%20Oct%202024%2009:53:45%20GMT	http://use.typekit.net/ik/wvPEluKgHSpxBJ9OLHxf6zbjvDnkv1hW6Tvyh8xotKMfeGvIfFHN4UJLFRbh52jhWDjkF2MtjA9hwRgqjQbXwhjuwR9XjhwaFU7IMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0ZAUnOWskdamXOQm3deC0SaBujW48Sagyjh90jhNlOfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUqjAuTjAokiAFnOcFzdPU8deCliY4ziWblFWgC-koDSWmyScmDSeBRZPoRdhXCdeNRjAUGdaFXOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaOcsydA8yd14ujhC0jhNlOYiaiko8deCliY4ziWblFWgC-koDSWmyScmDSeBRZPoRdhXCiaiaO1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXK2cUTdcNXpWg8OAsTZeNXJy4yZeNKZPu1jW4ydAN0Zfu3Scv7f6KwlMJbMg6IJMJ7fbRDFgMgeMb6MKG4fVMXIMIjgkMfH6qJvRbbMs65JMJ7fbRUFgMgegI6MTMgvxekq3j.js	C:/Users/DamianRuck/damian_website/use.typekit.net/ik/wvPEluKgHSpxBJ9OLHxf6zbjvDnkv1hW6Tvyh8xotKMfeGvIfFHN4UJLFRbh52jhWDjkF2MtjA9hwRgqjQbXwhjuwR9XjhwaFU7IMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0ZAUnOW	(from https://www.damianruck.com/)
10:53:47	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/DamianRuck/damian_website/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.damianruck.com/)
10:53:49	46584/46584	---M-Z	200	added ('OK')	text/javascript	etag:%2274cbac9b675a88526619527362833612%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-d0907212012ba5e737dc-min.en-US.js	C:/Users/DamianRuck/damian_website/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-d0907212012ba5e737dc-min.en-US.js	(from https://www.damianruck.com/)
10:53:50	89232/89232	---M-Z	200	added ('OK')	text/javascript	etag:%2235734de37386c26b69c1a71f9f80b994%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e755ccfc180e7a2ab623-min.en-US.js	C:/Users/DamianRuck/damian_website/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e755ccfc180e7a2ab623-min.en-US.js	(from https://www.damianruck.com/)
10:53:52	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/DamianRuck/damian_website/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.damianruck.com/)
10:54:02	245728/245728	---M-Z	200	added ('OK')	text/javascript	etag:%22e99f3bf72eaae471251ad87586359fe8%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	C:/Users/DamianRuck/damian_website/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	(from https://www.damianruck.com/)
10:54:05	40215/40215	---M-Z	200	added ('OK')	text/javascript	etag:%22d8dbf4a402cd96a0aa6d87c84e22d94e%22	http://assets.squarespace.com/universal/scripts-compressed/performance-eeabbe783ca43a2b4344-min.en-US.js	C:/Users/DamianRuck/damian_website/assets.squarespace.com/universal/scripts-compressed/performance-eeabbe783ca43a2b4344-min.en-US.js	(from https://www.damianruck.com/)
10:54:10	1358348/1358348	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Oct%202024%2009:54:05%20GMT	https://static1.squarespace.com/static/versioned-site-css/62408ae620da443f5254cc77/22/5c5a519771c10ba3470d8101/62408ae620da443f5254cc91/1573/site.css	C:/Users/DamianRuck/damian_website/static1.squarespace.com/static/versioned-site-css/62408ae620da443f5254cc77/22/5c5a519771c10ba3470d8101/62408ae620da443f5254cc91/1573/site.css	(from https://www.damianruck.com/)
10:54:11	270732/270732	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Oct%202024%2009:54:10%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1728407958569-DI71YIND73BBQN7RBZCZ/static.css	C:/Users/DamianRuck/damian_website/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1728407958569-DI71YIND73BBQN7RBZCZ/static.css	(from https://www.damianruck.com/)
10:54:12	1196442/1196442	---M-Z	200	added ('OK')	text/javascript	etag:%2250d4789a0cb66d279781e1b02e14d541%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6c569122bfa66a51a056-min.en-US.js	C:/Users/DamianRuck/damian_website/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6c569122bfa66a51a056-min.en-US.js	(from https://www.damianruck.com/)
10:54:13	99474/99474	---M-Z	200	added ('OK')	text/html	etag:W/%22fda56da3979f7846cf3cfc339ef5cbf2%22	https://www.damianruck.com/work	C:/Users/DamianRuck/damian_website/www.damianruck.com/work.html	(from https://www.damianruck.com/)
10:54:14	62431/62431	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Oct%202024%2009:54:11%20GMT	https://www.damianruck.com/cart	C:/Users/DamianRuck/damian_website/www.damianruck.com/cart.html	(from https://www.damianruck.com/)
10:54:26	651222/651222	---M-Z	200	added ('OK')	text/javascript	etag:%222b6b6f82d12e739d4de37af88412752a%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-7a7622a9128f0515235b-min.en-US.js	C:/Users/DamianRuck/damian_website/assets.squarespace.com/universal/scripts-compressed/common-vendors-7a7622a9128f0515235b-min.en-US.js	(from https://www.damianruck.com/)
10:54:49	234061/234061	---M--	200	added ('OK')	image/png	etag:CNLygKKA5/YCEAE=	https://images.squarespace-cdn.com/content/v1/62408ae620da443f5254cc77/0ea388e4-d723-46dd-a46c-6129d2bc8111/DamiantransparentBWwebready.png	C:/Users/DamianRuck/damian_website/images.squarespace-cdn.com/content/v1/62408ae620da443f5254cc77/0ea388e4-d723-46dd-a46c-6129d2bc8111/DamiantransparentBWwebready.png	(from https://www.damianruck.com/)
10:55:02	1569819/1569819	---M-Z	200	added ('OK')	text/javascript	etag:%22539ac1be829c49c1f281bc40d9846ca3%22	http://assets.squarespace.com/universal/scripts-compressed/common-c177b20123d796a28d55-min.en-US.js	C:/Users/DamianRuck/damian_website/assets.squarespace.com/universal/scripts-compressed/common-c177b20123d796a28d55-min.en-US.js	(from https://www.damianruck.com/)
10:55:03	266749/266749	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2020%20Oct%202024%2009:54:49%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.847a28e5557c56dfc28f88ee4d48526d.js	C:/Users/DamianRuck/damian_website/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.847a28e5557c56dfc28f88ee4d48526d.js	(from https://www.damianruck.com/)
10:55:03	1262/1262	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark.png	C:/Users/DamianRuck/damian_website/assets.squarespace.com/universal/images-v6/damask/error-dark.png	(from https://static1.squarespace.com/static/versioned-site-css/62408ae620da443f5254cc77/22/5c5a519771c10ba3470d8101/62408ae620da443f5254cc91/1573/site.css)
10:55:05	1676/1676	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	C:/Users/DamianRuck/damian_website/assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/62408ae620da443f5254cc77/22/5c5a519771c10ba3470d8101/62408ae620da443f5254cc91/1573/site.css)
10:55:05	1219/1219	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:01%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button.png	C:/Users/DamianRuck/damian_website/assets.squarespace.com/universal/images-v6/damask/play-button.png	(from https://static1.squarespace.com/static/versioned-site-css/62408ae620da443f5254cc77/22/5c5a519771c10ba3470d8101/62408ae620da443f5254cc91/1573/site.css)
10:55:05	2909/2909	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:07%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	C:/Users/DamianRuck/damian_website/assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/62408ae620da443f5254cc77/22/5c5a519771c10ba3470d8101/62408ae620da443f5254cc91/1573/site.css)
10:55:06	2968/2968	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	C:/Users/DamianRuck/damian_website/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	(from https://static1.squarespace.com/static/versioned-site-css/62408ae620da443f5254cc77/22/5c5a519771c10ba3470d8101/62408ae620da443f5254cc91/1573/site.css)
